,chi2,p_value,dof,odds_ratio,unique_count
ENSG00000243491,194.6877156659765,3.2163521174050853e-28,25,,26
ENSG00000251435,181.2458598667838,1.1834140635338832e-25,25,,26
ENSG00000131095,159.13496580270063,3.734885545589591e-24,19,,20
ENSG00000179010,213.3501172208014,4.431896189349891e-24,44,,45
ENSG00000159884,144.7071017653065,8.19787759329175e-24,14,,15
ENSG00000137720,173.60564061607187,8.867396668683288e-24,26,,27
ENSG00000117318,178.54569243156203,1.865329728808773e-23,29,,30
ENSG00000181031,173.466488997794,2.4720043989657647e-23,27,,28
ENSG00000272373,116.78929399347672,3.5690377601828454e-22,7,,8
ENSG00000237281,136.21989530650114,3.995336430660929e-22,14,,15
ENSG00000231437,182.57985590538067,7.127779119465372e-22,35,,36
ENSG00000214182,180.36231884057972,7.579734139049078e-22,34,,35
ENSG00000156232,191.59380907372397,5.4585368387456546e-21,42,,43
ENSG00000149761,174.48856011808905,8.474750555177798e-21,34,,35
ENSG00000254119,150.4788144122383,1.0359001380887852e-20,23,,24
ENSG00000167664,143.25070139615187,1.2209522832896338e-20,20,,21
ENSG00000168229,158.87422360248448,1.233806547113759e-20,27,,28
ENSG00000127445,235.17253278122843,1.514784071470855e-20,67,,68
ENSG00000235954,205.43176328502415,2.010657619533344e-20,51,,52
ENSG00000256148,129.05559868875088,3.2543032524010896e-20,15,,16
ENSG00000258694,171.1135532111395,3.366231672298346e-20,34,,35
ENSG00000181409,147.3360507246377,4.0083637711256616e-20,23,,24
ENSG00000227225,96.48698896895213,5.501301180947691e-20,4,,5
ENSG00000170175,179.880214139725,5.537030022575705e-20,39,,40
ENSG00000267638,175.43619424054208,1.4858397826423945e-19,38,,39
ENSG00000187609,150.6640159357551,1.589450310649021e-19,26,,27
ENSG00000125843,210.60914855072465,1.7989476745252836e-19,57,,58
ENSG00000233621,231.86367753623188,3.2568470213118255e-19,70,,71
ENSG00000224870,109.83723100570927,5.754604822914719e-19,10,,11
ENSG00000175161,237.04106280193227,5.864593338914109e-19,74,,75
ENSG00000177096,130.7217046238785,1.064479616632955e-18,19,,20
ENSG00000258422,138.4103596349973,1.8226045949129272e-18,23,,24
ENSG00000053372,187.1816548990462,2.514471917387092e-18,48,,49
ENSG00000105248,139.76071859903385,2.5772536019076472e-18,24,,25
ENSG00000126254,225.0513285024154,3.606183631163176e-18,70,,71
ENSG00000136518,219.90704997968305,3.62415567832916e-18,67,,68
ENSG00000137507,147.20888687600643,3.9119313565136886e-18,28,,29
ENSG00000164695,161.32666925465838,3.9226582123036876e-18,35,,36
ENSG00000226243,178.33807798481712,4.3178690517484985e-18,44,,45
ENSG00000260661,263.2004830917875,5.9722005693861524e-18,94,,95
ENSG00000226822,171.48475241545893,6.873540943166519e-18,41,,42
ENSG00000107796,143.53021839774559,7.589665049670965e-18,27,,28
ENSG00000088325,192.35205314009661,1.0841889319192833e-17,53,,54
ENSG00000104518,173.80732521470745,1.1988256221722045e-17,43,,44
ENSG00000237973,229.7226535541753,1.3277726930239507e-17,75,,76
ENSG00000179933,105.4378062601125,1.48733231104512e-17,11,,12
ENSG00000237753,126.78730655678096,1.5572791734824633e-17,20,,21
ENSG00000248527,225.05132850241543,2.0960292897446708e-17,73,,74
ENSG00000205730,219.60144927536226,2.415597709134499e-17,70,,71
ENSG00000105619,142.7332783314018,2.4703668286073858e-17,28,,29
ENSG00000196329,195.37976382179284,2.517774924064619e-17,56,,57
ENSG00000213753,125.53114382598078,2.6724572585879838e-17,20,,21
ENSG00000227811,237.04106280193233,3.207658994122249e-17,81,,82
ENSG00000162174,195.7776915113871,4.1197299071703285e-17,57,,58
ENSG00000101246,222.87137681159422,4.4319115421851015e-17,73,,74
ENSG00000174990,128.64050857497148,4.5894362607676804e-17,22,,23
ENSG00000197928,139.02498490338166,4.87812034524852e-17,27,,28
ENSG00000168517,178.72735507246378,6.041035216323343e-17,48,,49
ENSG00000177917,235.95108695652166,7.961514798072652e-17,82,,83
ENSG00000232869,117.85431179437906,1.0650004487778417e-16,18,,19
ENSG00000182362,130.6682926005941,1.1739409507321832e-16,24,,25
ENSG00000140932,211.42663043478257,1.2787890168129557e-16,68,,69
ENSG00000132196,150.60392170267068,1.2790847979462938e-16,34,,35
ENSG00000139154,142.67288195471426,1.3123172794803054e-16,30,,31
ENSG00000137078,138.12174018692002,1.628674565849521e-16,28,,29
ENSG00000149124,125.41501976284584,1.794151552739063e-16,22,,23
ENSG00000197744,195.6219806763285,2.793249819350905e-16,60,,61
ENSG00000124116,181.45229468599032,3.07883908958177e-16,52,,53
ENSG00000154832,214.6876237427734,4.0994815711296203e-16,72,,73
ENSG00000213689,141.6076221148685,4.455540600365098e-16,31,,32
ENSG00000116863,156.74372062279673,4.75804001811105e-16,39,,40
ENSG00000011485,178.46920289855072,4.802103295132821e-16,51,,52
ENSG00000162222,150.36810511284378,6.313727725580195e-16,36,,37
ENSG00000245573,94.55597036630768,6.658329629080134e-16,10,,11
ENSG00000228055,94.30516050386024,7.469916234961607e-16,10,,11
ENSG00000213402,135.95678275026103,8.813705130316114e-16,29,,30
ENSG00000165898,133.75194869614512,9.602445237877627e-16,28,,29
ENSG00000255872,93.7504567044209,9.632674689656346e-16,10,,11
ENSG00000267871,110.2590035241942,1.0786664987415023e-15,17,,18
ENSG00000215021,256.388134057971,1.0798689691815273e-15,100,,101
ENSG00000122971,125.28826154052604,1.0981913311187075e-15,24,,25
ENSG00000237943,170.8002580149319,1.1378007546603259e-15,48,,49
ENSG00000123154,127.15234387646088,1.190634222170611e-15,25,,26
ENSG00000196735,198.04025690658358,1.2847299872078904e-15,64,,65
ENSG00000230510,109.3956987369769,1.5677014175255644e-15,17,,18
ENSG00000100294,94.56043664509646,2.1187701009081346e-15,11,,12
ENSG00000105258,182.8147644927536,2.2968513773497066e-15,56,,57
ENSG00000269220,74.54746376811593,2.483846384435758e-15,4,,5
ENSG00000184209,118.86269357086938,2.8054719521710267e-15,22,,23
ENSG00000116771,93.60913930789708,3.2608971800687732e-15,11,,12
ENSG00000158716,126.70047230848861,3.290829607938978e-15,26,,27
ENSG00000251340,76.7791236796856,3.955166380736967e-15,5,,6
ENSG00000137404,134.06978702155328,4.117164132475916e-15,30,,31
ENSG00000185515,189.62711352657,4.134096440151109e-15,61,,62
ENSG00000161551,158.08069723151243,4.5959838603187884e-15,43,,44
ENSG00000139714,99.38087715338901,6.23175203855866e-15,14,,15
ENSG00000068394,160.76122779005973,6.41826215122892e-15,45,,46
ENSG00000125835,268.6503623188405,6.814108818653567e-15,112,,113
ENSG00000149743,156.92783816425123,7.057043815915972e-15,43,,44
ENSG00000159228,163.74018719806764,7.892803832640726e-15,47,,48
ENSG00000001036,246.85084541062795,7.960075387746626e-15,98,,99
ENSG00000226979,136.12165301108914,8.403027987440004e-15,32,,33
ENSG00000100360,147.36105882845013,8.437357344633266e-15,38,,39
ENSG00000130312,109.76542177629135,8.805991104466546e-15,19,,20
ENSG00000215256,85.93394151138716,1.061658217878872e-14,9,,10
ENSG00000247627,268.65036231884056,1.0642208054599519e-14,113,,114
ENSG00000111215,113.56248005039186,1.0680488061693707e-14,21,,22
ENSG00000119559,115.55178140096619,1.1134761090852948e-14,22,,23
ENSG00000204856,148.0792160737813,1.2870969733417835e-14,39,,40
ENSG00000130349,127.2888795986622,1.292142055733182e-14,28,,29
ENSG00000174007,106.26004367245116,1.5573200738173094e-14,18,,19
ENSG00000089693,213.37301587301582,1.6002139643497028e-14,78,,79
ENSG00000244459,180.673740510697,1.6047654699851774e-14,58,,59
ENSG00000108666,158.13664596273287,1.6833103135516417e-14,45,,46
ENSG00000261064,114.50523995281029,1.7187556137084994e-14,22,,23
ENSG00000100319,209.79166666666666,1.816456943873803e-14,76,,77
ENSG00000168634,79.23786339717046,1.96996666330998e-14,7,,8
ENSG00000197852,155.8378623188406,2.0422153766331824e-14,44,,45
ENSG00000143553,258.84057971014494,2.107238597986512e-14,108,,109
ENSG00000140983,225.05132850241543,2.1628080499081312e-14,86,,87
ENSG00000123395,113.81360955514064,2.2888663602290314e-14,22,,23
ENSG00000183918,186.12361973775015,2.449830362898791e-14,62,,63
ENSG00000138382,194.20247724974718,2.5718662917644083e-14,67,,68
ENSG00000161381,93.75045670442091,2.6680643034140244e-14,13,,14
ENSG00000253534,75.73776992026077,2.7052895894328265e-14,6,,7
ENSG00000163344,230.50120772946858,2.755902912810823e-14,90,,91
ENSG00000148343,211.4266304347826,3.004149648813948e-14,78,,79
ENSG00000127337,180.28446342305037,3.2783949475847476e-14,59,,60
ENSG00000249025,61.889420813059175,3.638170318015815e-14,2,,3
ENSG00000112320,61.84795595034024,3.714385770246075e-14,2,,3
ENSG00000174132,108.30572289156626,3.996293238627273e-14,20,,21
ENSG00000211810,95.13968550412069,4.02218222011298e-14,14,,15
ENSG00000241945,141.23692501575297,4.2882762704337846e-14,37,,38
ENSG00000229308,141.22866993922392,4.301689617389768e-14,37,,38
ENSG00000217258,120.33579192546584,4.324433845517476e-14,26,,27
ENSG00000115317,222.32638888888886,5.100046639526968e-14,86,,87
ENSG00000233515,94.5390994342401,5.233039215826977e-14,14,,15
ENSG00000120697,190.24995686680464,5.594654142529696e-14,66,,67
ENSG00000251191,82.30420847268674,5.625809891741459e-14,9,,10
ENSG00000146109,149.43425422705312,5.828819633066471e-14,42,,43
ENSG00000139053,145.6338331277624,6.33780080067574e-14,40,,41
ENSG00000211797,94.05958850931677,6.455556177778059e-14,14,,15
ENSG00000119640,138.14178388746802,6.917559255586382e-14,36,,37
ENSG00000214401,122.91658769109982,7.365431285986754e-14,28,,29
ENSG00000008283,86.59844432942259,7.711156876941351e-14,11,,12
ENSG00000245213,104.42943508977689,8.382964694346175e-14,19,,20
ENSG00000263264,130.03108127308892,9.001340117478508e-14,32,,33
ENSG00000118655,112.43221131369799,9.362461101464489e-14,23,,24
ENSG00000105825,146.31354957441914,9.556956776907328e-14,41,,42
ENSG00000241764,88.48347631362459,9.700343782213363e-14,12,,13
ENSG00000171314,241.40096618357487,1.0527546836415821e-13,100,,101
ENSG00000114648,135.07213693411026,1.1045712522550884e-13,35,,36
ENSG00000255569,80.32438251453495,1.3932527594653218e-13,9,,10
ENSG00000150977,252.30072463768116,1.4532370825509878e-13,108,,109
ENSG00000254682,115.29754062362758,1.4815832709730883e-13,25,,26
ENSG00000236935,96.56522856980261,1.5190347812890096e-13,16,,17
ENSG00000122783,162.37771739130434,1.5351046165686694e-13,51,,52
ENSG00000271207,84.98562126279518,1.5903936717412676e-13,11,,12
ENSG00000197070,148.34078486931747,1.6628246653339957e-13,43,,44
ENSG00000211747,98.49614335873302,1.6886661943633477e-13,17,,18
ENSG00000213543,77.24161437322576,1.752501380128385e-13,8,,9
